Prompt,Target
"Write a job description for Machine Learning-Computer Vision Research Scientist role proposed by ""UtopiaCompression Corporation."", a company founded on 2019.0 that has now a size of 1 to 50 employees and works on Computer Hardware & Software industry in the Information Technology sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Los Angeles, CA. The salary estimate is $132K-$208K ","PhD (minimum), Postdoc (preferred) in Applied Mathematics, Computer Science, or an Engineering discipline relevant to the expertise noted below
Deep and diverse knowledge of applied mathematics, e.g. combinatorial optimization; game theory; etc
Deep and diverse knowledge of probability theory and statistical modeling
Deep and diverse knowledge of AI concepts including: (a) variety of machine learning and classification regimes; (b) autonomous situated agents with cognitive and affective/emotional faculties; (c) variety of reasoning capabilities; (d) data mining and analytics; etc
Well-versed in computer vision both in theory and practice including: (a) image processing and analysis; (b) video processing and analysis
Impressive research, writing, and communication skills. Candidate is required to have publications in reputable journals, e.g. CVPR, IEEE, with him/her as the first author"
"Write a job description for Data Modeler role proposed by ""Kairos Technologies."", a company founded on 2003.0 that has now a size of 51 to 200 employees and works on IT Services industry in the Information Technology sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Irving, TX. The salary estimate is $132K-$208K ","Role: Data Modeler

Duration: 6 months

Location: LA, CA

Rate: DOEÂ

Â

Job Description:
Minimum 5 years of experience with Data Warehouse modeling & Business Intelligence.
Extensive experience gathering business requirements for BI solutions, writing functional specifications.
Expert on data warehouse lifecycle and different data modeling methodologies.
Extensive experience with data modeling (conceptual, logical, and physical).
Experience partnering with multiple teams in high visibility roles and owning end-to-end data solutions.
Expert in writing, optimizing, and validating SQL queries (Snowflake /ÂRedshiftÂ/ Postgres preferred).
Experience with business intelligence and ETL tools
Must be detail oriented.
Nice-to-haves (not required):

Â
Data modeling experience with Retail and marketing data. Experience working with Snowflake Cloud Data Warehouse.
Experience with Data Governance workflows and tools (Collibra preferred)."
"Write a job description for Data Analyst role proposed by ""Staffigo Technical Services, LLC."", a company founded on 2008.0 that has now a size of 51 to 200 employees and works on IT Services industry in the Information Technology sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Woodridge, IL. The salary estimate is $132K-$208K ","Job Description
Job description
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements
Proven work experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)
Powered by JazzHR

0yE3DxVz2X"
"Write a job description for Data Analyst role proposed by ""Eleven Recruiting - CHURN"", a company founded on 2019.0 that has now a size of 1 to 50 employees and works on IT Services industry in the Information Technology sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Los Angeles, CA. The salary estimate is $132K-$208K ","Our client is looking to hire an experienced full-time Data
Analyst to work in their Los Angeles office.

Responsibilities:

· Analyze user behavior and translate results from data into
actionable insights that help drive business goals and improve
company performance.

· Develop and automate analytical reports for various business
units and stakeholders throughout the organization.

· Regularly present and share findings to drive new business
initiatives and content strategy.

· Monitor and analyze key metrics and execute recurring analyses
and reporting.

· Regularly analyze websites to ensure site traffic and
conversion funnels are performant and provide recommendations to
test and optimize new features and products.

· Develop and maintain strong relationships with internal teams
and provide analytical support as necessary.

Requirements & Qualifications:

· BA / BS degree in related field

· 3-5 years of experience in Business Intelligence or Analytics
space, specifically dealing with site traffic

· SQL / query language skills are a plus

· Ability to analyze large data sets, manipulate data, and make
data-driven recommendations.

· Experience managing various tagging and tracking platforms
especially Google Analytics

· Experience with the following technologies is a Plus: Hadoop,
AWS, Tableau or other OLAP cube/data visualization, Oracle
database, Adobe Marketing Cloud (Omniture), Clicktale,
ExactTarget/Salesforce (or similar ESP)

· Experience coordinating and communicating with cross-functional
teams

· Strong Critical Thinking Required

· Understanding of eCommerce and online sales attribution
methodologies a Plus

· Excellent organizational, oral and interpersonal communication
skills, and keen attention to detail.

· Strong Ability to prioritize and handle multiple
initiatives/tasks in parallel as well as changing priorities

· Experience from a Media Company or Digital Publisher Preferred"
"Write a job description for Data Analyst role proposed by ""DatamanUSA."", a company founded on 2019.0 that has now a size of 51 to 200 employees and works on IT Services industry in the Information Technology sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Centennial, CO. The salary estimate is $132K-$208K ","DatamanUSA LLC has an exciting opportunity for a Data AnalystÂto work onsite with one of our direct clients in Los Angeles, CA. If you are not available or not interested then we love referrals! Please refer us to your friends, family, and colleagues for this opportunity. DatamanUSA gives referral bonuses (up to $500) if they get selected and perform well for our clients. Position Title: Data Analyst Duration: 1+ Month (with possible extension) Location: Los Angeles, California Required Skills and Experience:
4+ years of work experience with data analysis, statistical analysis, and data mining in business administration, public administration, IT, or other related industry.
4+ years of work experience gathering data requirements (including functional, user, system requirements); creating application wireframes, developing process flow diagrams, writing quality technical and user guide documentation; perform heavy research; and any other analysis tasks necessary for software implementation projects.
4+ years of work experience using SQL databases and database query languages.
Extensive experience in data management, data analysis, managing large data sets, data scrubbing, and identifying and resolving data, code or scripting issues.
Intermediate to advanced knowledge of Microsoft Word, Excel, Project, and PowerPoint is required.
Intermediate to advanced knowledge of Microsoft Access and Outlook are strongly desired."
"Write a job description for E-Discovery Data Engineer (ADS) role proposed by ""ProSearch Strategies."", a company founded on 2019.0 that has now a size of 1 to 50 employees and works on Accounting industry in the Accounting & Legal sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Los Angeles, CA. The salary estimate is $83K-$105K ","E-Discovery Data Engineer (ADS)

An E-Discovery Data Engineer in the Advanced Data Services Group at ProSearch supports the custom data transformation needs of ProSearch clients. E-Discovery Data Engineers at ProSearch support quality and data integrity by:
Engineer and implement solutions and workflows for clients and internal teams
Perform both standardized and ad-hoc data analysis, reporting, and modifications via SQL
Create, implement, and support custom Event Handlers
Creatively utilize and combine existing scripts, recipes, and applications (both proprietary and third-party) to automate tasks and workflows
Contribute to solution and script ownership, including providing training and guidance on use and supporting enhancements and troubleshooting"
"Write a job description for Data Engineer role proposed by ""Prosum."", a company founded on 1996.0 that has now a size of 201 to 500 employees and works on IT Services industry in the Information Technology sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in El Segundo, CA. The salary estimate is $83K-$105K ","Job Description
Our client is looking for a Sr. ETL Developer with IICS, DW design and implementation experience with Snowflake, as well as Cloud experience in AWS

• Responsibilities include performing data analysis, defining ETL architecture, data modeling and implementing robust data pipelines in the cloud using AWS, IICS and Snowflake. Requirements:

• 7+ years hands-on experience in BI and Data Warehousing with at least 2 full life cycle implementations. Includes architecture, design, data modeling (Kimball methodology), ETL and reporting.

• 2+ years experience implementing a Cloud DW/Data Lake.

• Demonstrably deep understanding of SQL, relational and analytical databases (Snowflake, Redshift, BigQuery, etc.)

• Hands-on, expert level experience of Informatica Intelligent Cloud Services

• Experience with AWS services (S3, Lambdas, etc.)

• Knowledge of Agile (Scrum) practices required

• Knowledge of ERPs (Oracle EBS, etc.) highly desired"
"Write a job description for Clinical Laboratory Scientist, Per Diem role proposed by ""UCLA Health."", a company founded on 1919.0 that has now a size of 5001 to 10000 employees and works on Health Care Services & Hospitals industry in the Health Care sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Los Angeles, CA. The salary estimate is $83K-$105K ","Overview

You can make a difference in people’s lives every day. When you join UCLA Health, you’ll be working at an institution that provides leading-edge care to the people of L.A. and throughout the world. We provide our team members with the environment and support to do amazing work, because each and every one of them plays a vital role in our commitment to care.

Job Duties
Job Qualifications

Job Duties

Responsibilities

As the Clinical Laboratory Scientist, you will perform a wide variety of technical procedures in a section of the Department of Pathology and Laboratory Medicine. Job duties include performing clinical laboratory tests, preparing reagents, performing quality control and calibration for test systems, maintaining and repairing laboratory equipment, processing specimens, and performing data entry.


UCLA is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.


Job Qualifications

Qualifications

REQUIRED
Current California Clinical Laboratory license
Bachelor’s Degree
PREFERRED
2 or more years of experience in Flow Cytometry laboratory – preferred

Summary Information

Posting Category:
Clinical Laboratory

Work Location:
US – Los Angeles, CA

UCLA Title: CLIN LAB SCI PD

Job #: 7791

Work Hours:
Monday, Tuesday, Thursday, including rotating Saturdays and holidays, from 3pm-9pm

Job Type: per diem

Duration: indefinite

Salary Range:
$61.18 – $61.18 Hourly

Layoff Referral Deadline:
Bargaining Unit:
HX

Posted Date:
June 23, 2020"
"Write a job description for Data Analyst role proposed by ""ICONMA."", a company founded on 2000.0 that has now a size of 1001 to 5000 employees and works on Staffing & Outsourcing industry in the Business Services sector. The job proposed is in Culver City, CA meanwhile the headquarter of the company is in Troy, MI. The salary estimate is $83K-$105K ","Location: Sunnyvale, CAPosition Overview:

Development and maintenance support for key data infrastructure supporting the Chrome OS client team, specifically the channel/customer sales teams. The Analyst will have very strong SQL skills, strong time management and self-direction, be comfortable cleaning up tech debt and maintaining pipelines, strong attention to detail, and strong documentation skills.

Job Requirements:

Skill/Experience/Education:

Mandatory:
1-3 years developing SQL workflows.
Project management experience.
Must be a strong self-directed contributor.
Skill Matrix:

Skill Name: SQL

Level: 4

Years: 0-3 years

Mandatory: Yes

Description: Must have a high level of comfort writing and maintaining SQL pipelines

As an equal opportunity employer, ICONMA prides itself on creating an employment environment that supports and encourages the abilities of all persons regardless of race, color, gender, age, sexual orientation, citizenship, or disability."
"Write a job description for Sr Data Engineer (AWS) role proposed by ""Prosum."", a company founded on 1996.0 that has now a size of 201 to 500 employees and works on IT Services industry in the Information Technology sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in El Segundo, CA. The salary estimate is $83K-$105K ","This role will start out as 100 remote until clients start opening up to onsite work in the greater DTLA area. Some of the technologies used by various clients include Python Scala Java AWS Glue AWS Redshift AWS EMR AWS Data Pipeline AWS Kinesis GCP Dataflow GCP BigQuery Looker Snowflake Redshift Spectrum Builds and maintains distributed systems, services and data pipelines. The role is focused on working on complex distributed systems, the performance of these systems and the ongoing optimization in service of our core business. This role is required to write highly scalable and fault tolerant code Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using Spark on Databricks, Apache Airflow and AWS lsquobig datarsquo technologies like AWS Glue, AWS Athena. Solid experience in SQL development Solid experience with Python, Spark, shell scripting Extensive ETL development experience with large-scale DBS or big data systems such as Redshift, Snowflake, Databricks, etc. Experience working with reporting tools such as Tableau or Looker Extensive experience with design development of relational databases and data warehouses Ability to look at solutions unconventionally and explore opportunities and devise innovative solutions"
"Write a job description for Data Engineer role proposed by ""CyberCoders."", a company founded on 1999.0 that has now a size of 201 to 500 employees and works on Staffing & Outsourcing industry in the Business Services sector. The job proposed is in Pasadena, CA meanwhile the headquarter of the company is in Irvine, CA. The salary estimate is $83K-$105K ","Data Engineer
If you are a Data Engineer looking for a new opportunity, read on!

We are a technology company based in Pasadena and we are growing rapidly. Currently, we are looking for a Data Engineer to join our team!

As a Data Engineer, you will work within our engineering team to maintain, expand and optimize the data warehouse and data pipeline processes. You will also work with our data scientists, data analysts and product stakeholders to implement processes and infrastructure in order to support our data driven reports and
analytics. These systems process billions of location data points per day.

Apply now!
What You Need for this Position
- SPARK
- Redshift
- Linux
- UNIX
- Shell
- AWS
- SQL
So, if you are a Data Engineer with experience, please apply today!
-
Applicants must be authorized to work in the U.S.


CyberCoders, Inc is proud to be an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance."
"Write a job description for Data Engineer role proposed by ""Agilisium LLC."", a company founded on 2012.0 that has now a size of 201 to 500 employees and works on IT Services industry in the Information Technology sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Westlake Village, CA. The salary estimate is $83K-$105K ","Role Data Engineer Location Sherman Oaks, CA Duration 6 Months 2+ years of professional experience as a Data Engineer Experience with SQL and NoSQL databases and tools of the trade such as Snowflake, Redshift, Airflow, etc. Experience with Python Strong experience writing and optimizing SQL statements Some knowledge of schema design (logical and physical) is desired Familiarity with distributed processing (Map Reduce, MPP, etc.) An interest in learning new languages, identifying and using best-in-class tools, and applying industry best practices"
"Write a job description for Data Engineer - W2 only - Local to Los Angeles, CA only role proposed by ""BayOne Solutions."", a company founded on 2019.0 that has now a size of 1001 to 5000 employees and works on IT Services industry in the Information Technology sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Pleasanton, CA. The salary estimate is $83K-$105K ","Position- Sr Data Engineer

Location- Los Angeles, CA

Duration-6 Months
Responsibilities:
Collaborate with product and engineering teams in multiple projects building forward thinking, innovative data solutions that up-level our features and get results in a data driven way.
Build highly scalable resilient data pipelines and models which produce high quality datasets.
Deliver visualizations that distill clear, actionable insights from large, complex datasets.
Improve our tooling by building generic data features such as data quality and anomaly detection and drive overall improvements in our data infrastructure.
Drive ideas and projects through deep understanding of our data and how it applies in the broader sense of the organization.
Qualifications:
4+ years of industry experience building highly scalable data pipelines (batch and/or streaming) utilizing Spark, Hive, Presto or other open source frameworks Architecture.
Python and shell scripting experience for automation and data manipulation.
Prior experience utilizing dashboarding tools such as Domo, Tableau, Superset or similar.
Prior experience utilizing dashboarding tools such as Tableau, Superset or similar.
Experience translating ambiguous business needs to highly scalable data models and datasets.
Background in software engineering - able to write elegant, scalable and maintainable code.
Strong SQL skills
Desired:
Experience with Airflow, Superset or similar open source tools.
Previous experience with AWS or similar cloud environment.
Experience preparing large, complex datasets for Machine Learning pipelines a plus.
Prior experience working in an Agile environment.
Gamer or experience in the gaming industry a plus."
"Write a job description for Data Engineer role proposed by ""Sense."", a company founded on 2014.0 that has now a size of 1 to 50 employees and works on Enterprise Software & Network Solutions industry in the Information Technology sector. The job proposed is in Culver City, CA meanwhile the headquarter of the company is in Culver City, CA. The salary estimate is $75K-$143K ","Who are we?

Sense360 is a Series A startup that is funded by prominent VC funds such as FirstMark Capital (Airbnb, Pinterest, Riot Games) and Upfront Ventures (Maker, TrueCar). Our data insights have been referenced by many publications including Bloomberg and CNBC. Sense360 was founded by successful repeat entrepreneurs.

We are transforming the way businesses make decisions by combining massive, disparate datasets and turning them into accessible, actionable, and accurate insights that drive the strategic decisions that brands make. See our Culture Deck here.



What will you do?

As a data engineer you will working on our data pipeline that processes 1.6+ TB sensor data/day and that is built using Spark, AWS, Python, Airflow and Rails. Below is a list of the major initiatives that you will be helping with.

Scale our data pipeline to handle 5MM+ users
Research, analyze and integrate new 3rd party datasets
Move our system from batch-based to real-time
Work closely with our data science team to build model building platforms
Build new data delivery mechanisms for our clients


What do we look for?

Engineers who thrive at Sense360 have a few key traits:

Care about their work, their team and their company
Heavy bias towards delivering value
Expect their ideas to be challenged because they believe that the best ideas can come from anywhere
View feedback as a gift that they give and receive
Fun and interesting


Qualifications

3+ years experience
experience with a distributed processing technology (e.g. Spark, Storm, Presto, Hadoop, Samza, Flink, etc)
solid CS and testing fundamentals
experience working in a startup or an extremely strong desire to do so


Willing to relocate if already within the US and sponsor visas."
"Write a job description for Business Intelligence Analyst role proposed by ""Systech Business Solutions."", a company founded on 1993.0 that has now a size of 201 to 500 employees and works on IT Services industry in the Information Technology sector. The job proposed is in Glendale, CA meanwhile the headquarter of the company is in Glendale, CA. The salary estimate is $75K-$143K ","Job Description
Develop, test, Quality Assurance (QA), implementing analytical and reporting solutions of Business Intelligence programs using Data Warehousing tools from MicroStrategy, Informatica, IBM-Netezza, Oracle, and Web Technologies
Design, develop, implement and test logical and physical data models
Perform data cleansing, extraction, and transformations (ETL), load processes
Provide technical support during parallel runs, consult the user to set operating procedures and clarify program objectives
Write codes following given standards and carry out QA tests as per plan.
Develop documentation for QA, testing application modules, user’s instructions and technical reference and provide support to users.
Flexible for Travel
Requirements

Bachelor’s Degree + 5 yrs. progressive experience in job or related occupation or Master’s Degree

No. Of Open Positions


Multiple positions, various levels

What is in it for you?


In addition to a competitive package and a rewarding working environment, Systech gives you the opportunity to play a key role in a rapidly growing entrepreneurial company, working alongside some of the foremost BI experts in the world to deliver innovative BI solutions at leading global corporations. Our emerging solutions also offer an opportunity to present at industry conferences such as Oracle OpenWorld, Informatica World, MicroStrategy World, EnZee World – and the platform to develop into a thought leader in the field of Business Intelligence, Data Integration and Analytics. Apply now and join us in mastering the data realm."
"Write a job description for Quantum Research Scientist, Test and Measurement role proposed by ""Amazon."", a company founded on 1994.0 that has now a size of 10000+ employees and works on Internet industry in the Information Technology sector. The job proposed is in Glendale, CA meanwhile the headquarter of the company is in Seattle, WA. The salary estimate is $75K-$143K ","The Amazon Web Services (AWS) Center for Quantum Computing in Pasadena, CA, is looking to hire a Quantum Research Scientist in the Test and Measurement group. You will join a multi-disciplinary team of theoretical and experimental physicists, materials scientists, and hardware and software engineers working at the forefront of quantum computing. You should have a deep and broad knowledge of experimental measurement techniques.

Candidates with a track record of original scientific contributions will be preferred. We are looking for candidates with strong engineering principles, resourcefulness and a bias for action, superior problem solving, and excellent communication skills. Working effectively within a team environment is essential. As a research scientist you will be expected to work on new ideas and stay abreast of the field of experimental quantum computation.

Basic Qualifications

· PhD in physics, applied physics, or electrical engineering
· Depth and breadth in experimental test and measurement techniques
· Proficient in a scientific programming environment (one or more of Julia, Python, Mathematica, MATLAB)
· Excellent skills in problem solving, organization, and communication
· Thrives in a collaborative environment
· Curiosity/capability to research and learn new techniques or technical topics as needed
· Comfortable working in a diverse group and contributing to an inclusive culture
· Experience working closely with scientists and engineers having a wide range of technical skill levels
· Experience with four of the following:
-Low-noise measurement analysis and techniques
-RF test equipment and circuit analysis
-Construction of high-performance test setups
-Troubleshooting and operation/construction of cryogenic hardware
-Setup of highly structured automated data taking and analysis
-Nanofabrication of chip scale devices
-Design and layout of chip scale devices

Preferred Qualifications

· Experience in testing superconducting microwave/RF circuits
· Strong command of the basic toolset for analyzing superconducting circuits (circuit Lagrangians and Hamiltonians, canonical quantization, etc.)
· Experience in multi-qubit calibration and testing
· Experience in gate optimization and system identification
· Familiarity with a variety of quantum computing architectures and algorithms"
"Write a job description for Project Scientist role proposed by ""Cedars-Sinai."", a company founded on 1902.0 that has now a size of 10000+ employees and works on Health Care Services & Hospitals industry in the Health Care sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Los Angeles, CA. The salary estimate is $34K-$72K ","PROJECT SCIENTIST sought by Cedars-Sinai Medical Center in Los Angeles, CA.
Duties: Contribute to development of research and creative projects in the field of processing and analysis of medical images including Magnetic Resonance Imaging (MRI), Computed Tomography (CT), Retinal images, and other modalities. Apply the principles of computing and medical image analysis and processing to create disease diagnostic and prediction system for cancers and cardiovascular diseases. Develop novel machine learning and deep learning algorithm for detection and segmentation of anatomical structures including organs, tissues, tumor, vessels, etc. Perform comprehensive data analysis to investigate the correlation of image-based biomarkers and medical disorders and diagnostic symptoms. Work independently, but in close cooperation and in consultation with the principles Investigator and other research scientists. Keep appropriate experimental records and documentation and analyze the results. Develop, adapt, and implement new research techniques and protocols. Lead and train staff research associates and research fellows. Analyze, interpret and compile data. Assist in preparation of grant proposals, submissions, publications, and presentations as an author or co-author. Provide regular supervision and teaching technical subjects to master's program students.

Requirements: PhD or foreign equivalent in Computer Science, Computer Engineering, or related field; plus one (1) year of experience as a Postdoctoral Fellow. Must have experience working in the field of breast cancer management. Must have experience in developing method to quantify breast cancer risk factors with the goal of detecting breast cancer early; tissue quantification and characterization; classification, segmentation, or configuration of image-based human vessels; developing algorithms/software for segmentation and identification of anatomical structures in MR/CT images; developing certainty estimation models, using probabilistic or feature ranking systems; use of programming tools, including Matlab; and teaching graduate students. Must have at least one peer-reviewed publication in a top-tier conference/journal in the field of image processing and medical image analysis.
To Apply: Any interested applicant may click on the APPLY NOW button above to apply for this position."
"Write a job description for Data Engineer role proposed by ""BlackLine."", a company founded on 2001.0 that has now a size of 501 to 1000 employees and works on Computer Hardware & Software industry in the Information Technology sector. The job proposed is in Woodland Hills, CA meanwhile the headquarter of the company is in Woodland Hills, CA. The salary estimate is $34K-$72K ","Responsibilities:
Responsible for building and maintaining the machine learning data and development platform.
Build, integrate and deploy machine learning solutions into the BlackLine application in collaboration with product management, cloud, engineering and data science teams.
Create and maintain scalable data pipeline in the cloud (AWS and GCP).
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement processes automation and data delivery.
Build infrastructure for optimal extraction, transformation, and loading of data from a wide variety of data sources.
Execute extract, transform and load (ETL) operations on large datasets including data identification, mapping, aggregation, conditioning, cleansing, and analyzing.
Build analytics tools to provide actionable insights into business and product performance.
Keep data separated, isolated and secured.
Assist data scientists in implementing achine learning algorithms and contribute to building and optimizing our product into an innovative industry leader.
Participate in establishing best practices while team is transitioning to new technologies, tools and infrastructure. Maintain specifications and metadata; follow the best practices.
Recommend and implement process improvements.
Maintain specifications and metadata; follow and develop best practices.
Coach and technically train data analysts, if needed.
Qualifications:
5+ years as a data engineer.
Experience with SQL, Python, R languages.
ETL experience using Python.
Experience with Hadoop, Spark, Hive. Presto is a plus.
Practical experience with GIT version control.
Strong familiarity with GCP, AWS, SQL Server.
Comfortable working with open source tools in Unix/Linux environments.
Data warehousing experience, data modeling and database design.
Experience with machine learning packages and various ML algorithms.
Experience with predictive and prescriptive analytics, modeling, and segmentation.
Experience with data analytics, big data, and analytics architectures.
Comfortable handling large amounts of data.
Experience ensuring data and modeling accuracy, cleanliness, reliability.
Works independently without the need for supervision.
Experience translating business requirements into functional, and non-functional requirements.
Strong sense systems and data ownership."
"Write a job description for Survey Data Analyst role proposed by ""Cypress HCM."", a company founded on 2005.0 that has now a size of 51 to 200 employees and works on Staffing & Outsourcing industry in the Business Services sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in Walnut Creek, CA. The salary estimate is $37K-$75K ","Job Description
Survey Data Analyst
Overview:
You’ll join a small, collaborative group of Product Consumer Insights researchers who work side-by-side with other Researchers, Product Managers, Product Designers, Engineers and Data Scientists to understand consumer behavior, measure brand perceptions and guide product innovations.
Responsibilities:
Point-person and team resident expert on tracking data
Manage large-scale, global survey trackers and analyze data trends across multiple regions
Customer Satisfaction Survey & Cancel Survey
Synthesize secondary, quantitative and behavioral data to tell a compelling story with actionable insights
Survey data manipulation in Excel or SPSS, combining and analyzing survey data with behavioral data
Quant survey questionnaire writing/editing
Developing of sample composition and weighting approach
Creative data visualization while report writing
Develop research reports in Google Slides
Qualifications:

5+ years of work experience as a data analyst or survey researcher with strong skills in survey data analysis and reporting to support global brands
Experience working in a tech or media industry is a plus
Experience working in an a/b testing culture is a plus
A very strong aptitude for data and statistics including fluency in Excel and SPSS/R and ability to confidently converse with our analytics partners
Experience in quant survey design/writing and developing a sample and weighting approach for global research
Comfortable creating tab and banner plans & communicating with data processing
Experience in SQL to link behavioral data with survey data is a plus
Strong data visualization skills in Google Slides or PowerPoint to convey information and results clearly
Knowledge of data visualization and dashboard design in Tableau is a plus
Foundation in basic statistics (e.g., hypothesis testing, correlations, regressions)
Creativity and attention to detail
Highly collaborative and self-directed"
"Write a job description for BI Data Analyst - Predictive Analytics role proposed by ""Internet Brands, Inc.."", a company founded on 1998.0 that has now a size of 1001 to 5000 employees and works on Internet industry in the Information Technology sector. The job proposed is in Los Angeles, CA meanwhile the headquarter of the company is in El Segundo, CA. The salary estimate is $37K-$75K ","Los Angeles based, Internet Brands is looking for a Data Analyst to join our team. You will be responsible for developing predictive models that provide our business units with reliable insights and visualization.In this role, you will:* Iteratively and quickly develop predictive models.* Use analytics to build cohorts in order to identify opportunities in high value segments.* Understand subject matter KPIs, trends and cohorts in order to improve upon existing methodologies.* Collaborate with software engineers and business owners to define product requirements and model parameters.* Work with engineering teams to automate and scale predictive model solutions.* Develop and maintain a testing framework for monitoring short and long term results of predictive models.* Deliver presentations to senior leadership to explain and illustrate complex analytical findings.Qualifications:* 4+ years' experience in a hands-on analytical role with a focus on analyzing business problems.* Deep understanding of web analytics.* Experience prototyping models in excel.* Strong analytical, conceptual, and problem-solving abilities.* High level of comfort with large relational data sets, database mining and manipulation.* Experience in tools used for data analysis and reporting (SQL, Excel, Tableau).* Clear written and oral communication skills.* Understanding of machine learning techniques and algorithms.About Internet Brands:Headquartered in El Segundo, Calif., Internet Brands® is a fully integrated online media and software services organization focused on four high-value vertical categories: Health, Automotive, Legal, and Home/Travel. The company's award-winning consumer websites lead their categories and serve more than 250 million monthly visitors, while a full range of web presence offerings has established deep, long-term relationships with SMB and enterprise clients. Internet Brands' powerful, proprietary operating platform provides the flexibility and scalability to fuel the company's continued growth. Internet Brands is a portfolio company of KKR and Temasek. For more information, please visit www.internetbrands.com.Internet Brands and its wholly owned affiliates are an equal opportunity employer."
"Write a job description for Data Analyst (Asset Management / eDiscovery) role proposed by ""Odesus."", a company founded on 2001.0 that has now a size of 51 to 200 employees and works on Consulting industry in the Business Services sector. The job proposed is in Burbank, CA meanwhile the headquarter of the company is in Los Angeles, CA. The salary estimate is $37K-$75K ","Odesus is a premier IT consulting company specializing in project staff augmentation. For over a decade, Odesus has been the go-to company providing top quality IT consultants. Our client in Burbank, CA is currently seeking a contract Data Analyst to join their Asset Management team and be responsible for the day to day management of discovered asset data. Ideal candidates will have strong understanding of eDiscovery process and be able to identify and resolve discovery errors, manage data coming into the CMDB and perform quality audits. Strong knowledge of full lifecycle of asset management of both software and hardware, strong Excel and prior experience with ServiceNow Discovery is highly preferred. For immediate consideration and more information, send your Word resume to cyoonodesus.com today! Note... remote work is available at this current time, but candidates are expected to be able to work onsite in Burbank, CA when appropriate. Local candidates highly preferred."
